COMPSCI4019_1,Distributed Algs & Systems 4,Mon,27/04/2015,09:30 - 11:30,Senate Room
COMPSCI5002_1,Advanced Programming (M),Mon,27/04/2015,09:30 - 11:30,O.T.C. Drill Hall
COMPSCI4002_1,Advanced Networking & Comms 4,Mon,27/04/2015,14:00 - 16:00,Design Studio A (427A) James Watt Building
COMPSCI4012_1,CS3T:Networked Systems 3,Tue,28/04/2015,09:30 - 11:00,"Rm 356 Gilbert Scott Conference Suite,Randolph Hall"
COMPSCI5001_1,Advanced Op Systems (M),Tue,28/04/2015,09:30 - 11:30,Sir Charles Wilson Building Seminar Rooms
COMPSCI4031_1,Modelling Reactive Systems 4,Tue,28/04/2015,14:00 - 16:00,Rm 356 Gilbert Scott Conference Suite
COMPSCI4066_1,Computer Vision Methods&Apps 4,Wed,29/04/2015,09:30 - 11:30,Randolph Hall
COMPSCI5004_1,Algorithms & Data Structures,Wed,29/04/2015,09:30 - 11:30,Fore Hall
COMPSCI4007_1,Computer Architecture 4,Wed,29/04/2015,14:00 - 16:00,Room 601 Rankine Building
COMPSCI5015_1,Mobile HCI (M),Thu,30/04/2015,09:30 - 11:30,Room 629 Rankine Building
COMPSCI4068_1,Mobile HCI 4,Thu,30/04/2015,09:30 - 11:30,Room 629 Rankine Building
COMPSCI2007_1,CS2X: Algs & Data Structures 2,Thu,30/04/2015,14:00 - 15:30,Hunter Hall East
COMPSCI4003_1,Algorithmics 4,Thu,30/04/2015,14:00 - 16:00,Room 601 Rankine Building
COMPSCI5013_1,IT Architecture (M),Fri,01/05/2015,09:30 - 11:30,Room 227 St Andrews Building
COMPSCI5060_1,Human_Centred Security (M),Fri,01/05/2015,14:00 - 15:30,Room 227 St Andrews Building
COMPSCI1018_1,Computing Science _ 1S,Tue,05/05/2015,09:30 - 10:30,Sir Charles Wilson Building Seminar Rooms
COMPSCI1002_1,Computing Science 1Q,Tue,05/05/2015,09:30 - 11:30,"Senate Room,Randolph Hall"
COMPSCI5068_1,Safety Critical Systems (M),Wed,06/05/2015,09:30 - 11:30,O.T.C. Drill Hall
COMPSCI4045_1,Safety Critical Systems 4,Wed,06/05/2015,09:30 - 11:30,O.T.C. Drill Hall
COMPSCI4039_1,Programming,Wed,06/05/2015,14:00 - 16:00,Senate Room
COMPSCI5063_1,Cyber Security M,Thu,07/05/2015,09:30 - 11:30,O.T.C. Drill Hall
COMPSCI4062_1,Cyber Security 4,Thu,07/05/2015,09:30 - 11:30,O.T.C. Drill Hall
COMPSCI1017_1,Computing Science _ 1PX,Fri,08/05/2015,09:30 - 11:00,Sir Charles Wilson Building Seminar Rooms
COMPSCI1001_1,Computing Science 1P,Fri,08/05/2015,09:30 - 11:30,"Gym St. Andrews Building,Room 227 St Andrews Building"
COMPSCI4009_1,CS3P:Algorithmics 3,Fri,08/05/2015,09:30 - 11:00,O.T.C. Drill Hall
COMPSCI5008_1,Enterprise Computing (M),Fri,08/05/2015,14:00 - 16:00,Randolph Hall
COMPSCI4016_1,CS3Z:Programming Languages 3,Mon,11/05/2015,09:30 - 11:00,Gym St. Andrews Building
COMPSCI5012_1,Internet Technology (M),Mon,11/05/2015,14:00 - 16:00,Senate Room
COMPSCI4011_1,CS3S:Operating Systems 3,Tue,12/05/2015,09:30 - 11:00,Gym St. Andrews Building
COMPSCI4067_1,SE for Financial Systems 4,Tue,12/05/2015,09:30 - 11:00,Fore Hall